id_contribuinte,cnae,desc_cnae,porte,porte_num,regime_tributario,regime_num,bairro,risco_latente,gap_medio_pct,gap_std,taxa_omissao,taxa_retificacao,receita_media_12m,cv_receita,slope_receita_norm,razao_ultimo_media,meses_sem_fiscalizacao,n_acoes_historicas,n_meses_com_dados,irregularidade_confirmada,bench_receita_media,gap_vs_bench_pct
1,8599-6,Treinamento e capacitação,ME,2,Simples Nacional,2,Jardim Rio Branco,2,71.75,12.27,0.0833,0.0,5239.07,0.514,0.027077,0.4275,36,0,12,0,62778.58030149052,91.65
2,4771-7,Comércio farmacêutico,EPP,3,Simples Nacional,2,Esplanada dos Barreiros,0,3.5,6.5,0.0,0.0,247700.49,0.1801,0.035129,1.2294,36,0,12,0,247735.04169952212,0.01
3,6911-7,Atividades jurídicas,MEI,1,MEI,1,Vila Margarida,0,6.11,5.07,0.0,0.0,4907.8,0.0972,-0.005707,0.8804,36,0,12,0,131438.33464285714,96.27
4,4921-3,Transporte rodoviário coletivo,MEI,1,MEI,1,Alto da Boa Vista,2,75.45,20.01,0.3333,0.0,1962.09,0.8449,-0.005795,1.997,36,0,12,0,537656.9499799799,99.64
5,6920-6,Atividades contábeis,ME,2,Simples Nacional,2,Vila Nova,1,45.65,26.86,0.1667,0.0,14985.97,0.5165,0.06181,1.6854,36,0,12,0,93794.93164215687,84.02
6,6202-3,Desenvolvimento de sistemas,MEI,1,MEI,1,Ilha Porchat,2,78.17,18.15,0.3333,0.1667,841.17,0.8369,-0.092067,0.0,36,0,12,0,91894.10241863075,99.08
7,5611-2,Restaurantes e similares,EPP,3,Simples Nacional,2,Jardim Rio Branco,0,4.93,6.26,0.0,0.0,127421.44,0.1714,0.001481,0.9164,36,0,12,0,102203.3056008454,0.0
8,6202-3,Desenvolvimento de sistemas,MEI,1,MEI,1,Japuí,0,5.98,7.13,0.0,0.0,3929.26,0.1461,0.017262,1.0698,36,0,12,0,91894.10241863075,95.72
9,8599-6,Treinamento e capacitação,MEI,1,MEI,1,Glória,0,15.73,27.63,0.0833,0.0833,2917.57,0.4375,0.017051,0.7229,36,0,12,0,62778.58030149052,95.35
10,8650-0,Atividades de saúde humana,ME,2,Simples Nacional,2,Japuí,0,6.43,8.32,0.0,0.0,38276.03,0.1594,0.002161,0.9089,36,0,12,0,155738.17786195286,75.42
11,4330-4,Acabamentos em construção,ME,2,Simples Nacional,2,Vila Margarida,0,5.14,5.35,0.0,0.0,37937.54,0.2338,0.006794,0.769,36,0,12,0,162118.29751887813,76.6
12,5310-5,Atividades dos correios,MEI,1,MEI,1,Jardim Rio Branco,0,4.91,6.07,0.0,0.0,2834.66,0.1128,0.008233,0.8438,36,0,12,0,46652.40631738174,93.92
13,4330-4,Acabamentos em construção,ME,2,Simples Nacional,2,Centro,1,48.53,32.26,0.25,0.25,20528.5,0.6861,0.018272,0.0,36,0,12,0,162118.29751887813,87.34
14,9311-5,Academias e fitness,MEI,1,MEI,1,Catiapoa,0,14.54,27.42,0.0833,0.0,3936.04,0.3298,0.020489,1.0016,36,0,12,0,177651.30473180074,97.78
15,6911-7,Atividades jurídicas,ME,2,Simples Nacional,2,Catiapoa,0,4.78,6.27,0.0,0.0,31317.7,0.0791,0.008113,1.024,36,0,12,0,131438.33464285714,76.17
16,5310-5,Atividades dos correios,ME,2,Simples Nacional,2,Centro,0,12.7,28.14,0.0833,0.0,15822.41,0.3557,-0.027595,0.0,36,0,12,0,46652.40631738174,66.08
17,7711-0,Locação de automóveis,MEI,1,MEI,1,Porto Grande,2,75.36,19.55,0.3333,0.0833,1657.95,0.8172,0.036528,0.957,36,0,12,0,301400.2526279957,99.45
18,6911-7,Atividades jurídicas,GR,5,Lucro Real,4,Centro,1,26.33,6.84,0.0,0.1667,865772.73,0.1461,0.027937,1.1141,36,0,12,0,131438.33464285714,0.0
19,4330-4,Acabamentos em construção,MEI,1,MEI,1,Vila Margarida,0,8.03,5.21,0.0,0.0,4937.71,0.1739,0.011071,0.7856,36,0,12,0,162118.29751887813,96.95
20,4120-4,Construção de edifícios,EPP,3,Lucro Presumido,3,Catiapoa,0,5.68,3.33,0.0,0.0,216002.54,0.1908,0.005608,0.7245,36,0,12,0,393390.15080833336,45.09
21,4120-4,Construção de edifícios,MEI,1,MEI,1,Japuí,0,12.59,28.13,0.0833,0.0833,6611.74,0.3613,0.021892,1.0049,36,0,12,0,393390.15080833336,98.32
22,5310-5,Atividades dos correios,MEI,1,MEI,1,Porto Grande,2,72.43,18.58,0.25,0.0,876.59,0.6373,-0.058646,0.0,36,0,12,0,46652.40631738174,98.12
23,8630-5,Atividades de atenção à saúde,MEI,1,MEI,1,Cidade Nautica,1,48.62,31.8,0.25,0.1667,3077.47,0.6289,-0.022576,1.0012,36,0,12,0,208588.24982142856,98.52
24,5310-5,Atividades dos correios,MEI,1,MEI,1,Vila Margarida,0,1.35,4.77,0.0,0.0,3109.16,0.1621,0.022207,0.941,26,1,12,0,46652.40631738174,93.34
25,6202-3,Desenvolvimento de sistemas,ME,2,Lucro Presumido,3,Catiapoa,0,6.58,6.35,0.0,0.0,20522.84,0.1332,0.000163,0.9781,36,0,12,0,91894.10241863075,77.67
26,6911-7,Atividades jurídicas,GR,5,Lucro Real,4,Glória,1,39.87,29.17,0.1667,0.0833,738331.06,0.4846,-0.010485,1.2943,36,0,12,0,131438.33464285714,0.0
27,4330-4,Acabamentos em construção,MD,4,Lucro Presumido,3,Centro,2,69.87,12.65,0.0833,0.0,145645.04,0.472,0.04659,0.589,36,0,12,0,162118.29751887813,10.16
28,8630-5,Atividades de atenção à saúde,ME,2,Simples Nacional,2,Alto da Boa Vista,2,70.01,15.8,0.1667,0.0,13587.63,0.5413,-0.016911,1.1678,36,0,12,0,208588.24982142856,93.49
29,4120-4,Construção de edifícios,MEI,1,MEI,1,Centro,0,6.89,7.43,0.0,0.0,7391.63,0.2453,0.02912,0.7276,36,0,12,0,393390.15080833336,98.12
30,8650-0,Atividades de saúde humana,MEI,1,MEI,1,Vila Nova,0,5.69,4.62,0.0,0.0833,5393.14,0.2084,0.017323,1.2414,17,1,12,0,155738.17786195286,96.54
31,5310-5,Atividades dos correios,ME,2,Simples Nacional,2,Cidade Nautica,0,6.88,5.94,0.0,0.0,17686.56,0.1318,-0.01252,0.8178,16,1,12,0,46652.40631738174,62.09
