id_contribuinte,cnae,desc_cnae,porte,regime_tributario,bairro,gap_medio_pct,taxa_omissao,meses_sem_fiscalizacao,gap_vs_bench_pct,score_risco,faixa_risco,irregularidade_confirmada,receita_media_12m
1,8599-6,Treinamento e capacitação,ME,Simples Nacional,Jardim Rio Branco,71.75,0.0833,36,91.65,0.3,Baixo,0,5239.07
2,4771-7,Comércio farmacêutico,EPP,Simples Nacional,Esplanada dos Barreiros,3.5,0.0,36,0.01,0.2,Baixo,0,247700.49
3,6911-7,Atividades jurídicas,MEI,MEI,Vila Margarida,6.11,0.0,36,96.27,0.0,Baixo,0,4907.8
4,4921-3,Transporte rodoviário coletivo,MEI,MEI,Alto da Boa Vista,75.45,0.3333,36,99.64,0.1,Baixo,0,1962.09
5,6920-6,Atividades contábeis,ME,Simples Nacional,Vila Nova,45.65,0.1667,36,84.02,0.1,Baixo,0,14985.97
6,6202-3,Desenvolvimento de sistemas,MEI,MEI,Ilha Porchat,78.17,0.3333,36,99.08,0.2,Baixo,0,841.17
7,5611-2,Restaurantes e similares,EPP,Simples Nacional,Jardim Rio Branco,4.93,0.0,36,0.0,0.1,Baixo,0,127421.44
8,6202-3,Desenvolvimento de sistemas,MEI,MEI,Japuí,5.98,0.0,36,95.72,0.2,Baixo,0,3929.26
9,8599-6,Treinamento e capacitação,MEI,MEI,Glória,15.73,0.0833,36,95.35,0.1,Baixo,0,2917.57
10,8650-0,Atividades de saúde humana,ME,Simples Nacional,Japuí,6.43,0.0,36,75.42,0.0,Baixo,0,38276.03
11,4330-4,Acabamentos em construção,ME,Simples Nacional,Vila Margarida,5.14,0.0,36,76.6,0.0,Baixo,0,37937.54
12,5310-5,Atividades dos correios,MEI,MEI,Jardim Rio Branco,4.91,0.0,36,93.92,0.1,Baixo,0,2834.66
13,4330-4,Acabamentos em construção,ME,Simples Nacional,Centro,48.53,0.25,36,87.34,0.2,Baixo,0,20528.5
14,9311-5,Academias e fitness,MEI,MEI,Catiapoa,14.54,0.0833,36,97.78,0.0,Baixo,0,3936.04
15,6911-7,Atividades jurídicas,ME,Simples Nacional,Catiapoa,4.78,0.0,36,76.17,0.0,Baixo,0,31317.7
16,5310-5,Atividades dos correios,ME,Simples Nacional,Centro,12.7,0.0833,36,66.08,0.0,Baixo,0,15822.41
17,7711-0,Locação de automóveis,MEI,MEI,Porto Grande,75.36,0.3333,36,99.45,0.0,Baixo,0,1657.95
18,6911-7,Atividades jurídicas,GR,Lucro Real,Centro,26.33,0.0,36,0.0,0.2,Baixo,0,865772.73
19,4330-4,Acabamentos em construção,MEI,MEI,Vila Margarida,8.03,0.0,36,96.95,0.0,Baixo,0,4937.71
20,4120-4,Construção de edifícios,EPP,Lucro Presumido,Catiapoa,5.68,0.0,36,45.09,0.0,Baixo,0,216002.54
21,4120-4,Construção de edifícios,MEI,MEI,Japuí,12.59,0.0833,36,98.32,0.0,Baixo,0,6611.74
22,5310-5,Atividades dos correios,MEI,MEI,Porto Grande,72.43,0.25,36,98.12,0.4,Baixo,0,876.59
23,8630-5,Atividades de atenção à saúde,MEI,MEI,Cidade Nautica,48.62,0.25,36,98.52,0.1,Baixo,0,3077.47
24,5310-5,Atividades dos correios,MEI,MEI,Vila Margarida,1.35,0.0,13,93.34,9.7,Baixo,0,3109.16
25,6202-3,Desenvolvimento de sistemas,ME,Lucro Presumido,Catiapoa,6.58,0.0,36,77.67,0.0,Baixo,0,20522.84
26,6911-7,Atividades jurídicas,GR,Lucro Real,Glória,39.87,0.1667,36,0.0,0.1,Baixo,0,738331.06
27,4330-4,Acabamentos em construção,MD,Lucro Presumido,Centro,69.87,0.0833,36,10.16,0.1,Baixo,0,145645.04
28,8630-5,Atividades de atenção à saúde,ME,Simples Nacional,Alto da Boa Vista,70.01,0.1667,36,93.49,0.4,Baixo,0,13587.63
