id_da,tipo_tributo,id_contribuinte,competencia_origem,data_inscricao,valor_principal,juros,multa,valor_total,valor_recuperado,fase,situacao
1,ISS,404.0,2023-07,2023-09-29,4276.78,776.86,855.36,5908.99,0.0,Judicial,Em aberto
2,ISS,192.0,2024-10,2024-12-30,898.94,77.68,179.79,1156.41,63.58,Administrativa,Parcelado
3,ISS,1277.0,2024-03,2024-05-30,766.98,211.83,153.4,1132.21,0.0,Administrativa,Em aberto
4,ISS,1523.0,2024-12,2025-03-01,2754.27,620.86,550.85,3925.98,0.0,Administrativa,Em aberto
5,ISS,787.0,2023-04,2023-06-30,1037.9,196.25,207.58,1441.73,62.65,Judicial,Parcelado
6,ISS,1645.0,2024-04,2024-06-30,614.72,69.95,122.94,807.61,0.0,Administrativa,Em aberto
7,ISS,1490.0,2023-07,2023-09-29,2192.34,320.64,438.47,2951.45,0.0,Administrativa,Em aberto
8,ISS,1857.0,2024-10,2024-12-30,1064.93,88.97,212.99,1366.89,0.0,Administrativa,Em aberto
9,ISS,1324.0,2023-08,2023-10-30,586.69,145.26,117.34,849.29,46.4,Administrativa,Parcelado
10,ISS,1313.0,2024-12,2025-03-01,733.61,213.4,146.72,1093.73,108.15,Administrativa,Parcelado
11,ISS,1156.0,2023-05,2023-07-30,1351.71,390.15,270.34,2012.2,0.0,Administrativa,Em aberto
12,ISS,1353.0,2022-12,2023-03-01,507.98,46.56,101.6,656.13,134.32,Administrativa,Parcelado
13,ISS,925.0,2024-05,2024-07-30,4112.98,450.07,822.6,5385.65,846.2,Judicial,Parcelado
14,ISS,1514.0,2024-12,2025-03-01,3469.43,775.85,693.89,4939.17,0.0,Administrativa,Em aberto
15,ISS,375.0,2024-07,2024-09-29,2747.68,256.33,549.54,3553.54,895.9,Administrativa,Parcelado
16,ISS,1539.0,2022-10,2022-12-30,1932.19,213.22,386.44,2531.85,53.39,Administrativa,Parcelado
17,ISS,1369.0,2024-05,2024-07-30,3647.71,1045.4,729.54,5422.66,0.0,Administrativa,Em aberto
18,ISS,446.0,2023-09,2023-11-30,3961.95,665.59,792.39,5419.93,0.0,Judicial,Em aberto
19,ISS,262.0,2024-07,2024-09-29,647.98,166.13,129.6,943.7,0.0,Administrativa,Em aberto
20,ISS,1723.0,2023-05,2023-07-30,12311.3,2679.01,2462.26,17452.57,0.0,Administrativa,Em aberto
21,ISS,1400.0,2024-06,2024-08-30,985.32,294.56,197.06,1476.95,0.0,Administrativa,Em aberto
22,ISS,1023.0,2022-04,2022-06-30,2153.15,215.2,430.63,2798.98,109.18,Administrativa,Parcelado
23,ISS,668.0,2024-07,2024-09-29,1749.55,504.59,349.91,2604.05,0.0,Administrativa,Em aberto
24,ISS,793.0,2022-08,2022-10-30,1311.97,303.95,262.39,1878.32,0.0,Judicial,Em aberto
25,ISS,1986.0,2023-07,2023-09-29,940.46,83.86,188.09,1212.41,0.0,Administrativa,Em aberto
26,ISS,773.0,2023-12,2024-02-29,4158.12,1219.37,831.62,6209.11,0.0,Administrativa,Em aberto
27,ISS,1075.0,2024-11,2025-01-30,508.74,91.87,101.75,702.36,0.0,Administrativa,Em aberto
28,ISS,832.0,2024-02,2024-05-01,619.41,64.18,123.88,807.47,0.0,Administrativa,Em aberto
29,ISS,1785.0,2022-12,2023-03-01,3074.59,328.86,614.92,4018.37,0.0,Administrativa,Em aberto
30,ISS,99.0,2024-10,2024-12-30,2628.5,257.08,525.7,3411.28,0.0,Administrativa,Em aberto
31,ISS,668.0,2022-10,2022-12-30,2161.97,432.18,432.39,3026.55,411.01,Judicial,Parcelado
32,ISS,1758.0,2022-06,2022-08-30,1985.59,465.32,397.12,2848.03,0.0,Administrativa,Em aberto
33,ISS,1927.0,2024-11,2025-01-30,587.67,44.67,117.53,749.87,0.0,Administrativa,Em aberto
34,ISS,927.0,2023-02,2023-05-02,7355.09,2150.91,1471.02,10977.02,119.5,Judicial,Parcelado
35,ISS,514.0,2023-09,2023-11-30,2458.59,258.2,491.72,3208.51,0.0,Administrativa,Em aberto
36,ISS,395.0,2022-08,2022-10-30,841.88,139.89,168.38,1150.15,0.0,Judicial,Em aberto
37,ISS,931.0,2024-10,2024-12-30,1055.2,193.52,211.04,1459.76,429.71,Administrativa,Parcelado
38,ISS,439.0,2023-06,2023-08-30,1192.3,148.7,238.46,1579.46,0.0,Judicial,Em aberto
39,ISS,675.0,2023-12,2024-02-29,882.87,159.51,176.57,1218.95,110.02,Administrativa,Parcelado
40,ISS,809.0,2024-03,2024-05-30,94155.73,15440.55,18831.15,128427.42,33997.35,Administrativa,Parcelado
41,ISS,1402.0,2024-09,2024-11-30,4355.31,368.94,871.06,5595.32,237.27,Administrativa,Parcelado
42,ISS,504.0,2024-07,2024-09-29,913.82,112.69,182.76,1209.27,0.0,Administrativa,Em aberto
43,ISS,1943.0,2022-07,2022-09-29,6224.47,1303.99,1244.89,8773.36,0.0,Judicial,Em aberto
44,ISS,1625.0,2023-12,2024-02-29,1460.69,142.64,292.14,1895.47,0.0,Administrativa,Em aberto
45,ISS,1625.0,2024-03,2024-05-30,5320.68,621.65,1064.14,7006.47,0.0,Administrativa,Em aberto
46,ISS,1068.0,2024-03,2024-05-30,1699.76,119.04,339.95,2158.75,0.0,Judicial,Em aberto
47,ISS,897.0,2023-03,2023-05-30,701.89,138.7,140.38,980.97,0.0,Judicial,Em aberto
48,ISS,817.0,2022-08,2022-10-30,671.54,170.32,134.31,976.17,0.0,Administrativa,Em aberto
49,ISS,1432.0,2023-01,2023-04-01,1562.42,430.62,312.48,2305.52,323.47,Judicial,Parcelado
50,ISS,591.0,2024-12,2025-03-01,632.5,154.75,126.5,913.75,52.12,Judicial,Parcelado
51,ISS,1713.0,2024-10,2024-12-30,571.43,54.3,114.29,740.02,103.95,Administrativa,Parcelado
52,ISS,1062.0,2022-07,2022-09-29,4179.91,364.03,835.98,5379.93,0.0,Administrativa,Em aberto
53,ISS,1964.0,2022-01,2022-04-01,512.42,151.93,102.48,766.83,0.0,Judicial,Em aberto
54,ISS,527.0,2022-11,2023-01-30,11499.42,3049.9,2299.88,16849.2,0.0,Judicial,Em aberto
55,ISS,901.0,2023-09,2023-11-30,11238.03,2113.49,2247.61,15599.13,0.0,Administrativa,Em aberto
56,ISS,508.0,2024-04,2024-06-30,1306.81,351.37,261.36,1919.54,0.0,Judicial,Em aberto
57,ISS,817.0,2024-10,2024-12-30,913.92,202.57,182.78,1299.28,228.56,Administrativa,Parcelado
58,ISS,1977.0,2024-11,2025-01-30,6554.38,1532.74,1310.88,9398.0,0.0,Administrativa,Em aberto
59,ISS,390.0,2023-02,2023-05-02,653.82,57.08,130.76,841.67,0.0,Administrativa,Em aberto
60,ISS,1254.0,2023-01,2023-04-01,1183.09,126.6,236.62,1546.3,0.0,Judicial,Em aberto
61,ISS,1986.0,2023-10,2023-12-30,641.52,135.76,128.3,905.58,0.0,Judicial,Em aberto
62,ISS,892.0,2023-01,2023-04-01,689.02,85.91,137.8,912.74,0.0,Judicial,Em aberto
63,ISS,621.0,2022-01,2022-04-01,1311.17,219.5,262.23,1792.9,446.26,Administrativa,Parcelado
64,ISS,561.0,2022-08,2022-10-30,5961.26,1002.21,1192.25,8155.72,0.0,Administrativa,Em aberto
65,ISS,1103.0,2023-09,2023-11-30,1321.18,304.02,264.24,1889.44,433.37,Administrativa,Parcelado
66,ISS,254.0,2024-01,2024-03-31,2124.14,489.35,424.83,3038.32,876.24,Administrativa,Parcelado
67,ISS,1738.0,2024-03,2024-05-30,755.55,130.75,151.11,1037.41,0.0,Administrativa,Em aberto
68,ISS,1065.0,2024-03,2024-05-30,766.62,113.27,153.32,1033.21,188.04,Judicial,Parcelado
69,ISS,224.0,2023-09,2023-11-30,9944.41,2495.8,1988.88,14429.09,2305.83,Judicial,Parcelado
70,ISS,653.0,2022-03,2022-05-30,1822.62,374.5,364.52,2561.64,0.0,Judicial,Em aberto
71,ISS,78.0,2022-01,2022-04-01,623.82,158.38,124.76,906.96,37.49,Administrativa,Parcelado
72,ISS,678.0,2022-09,2022-11-30,593.72,149.11,118.74,861.57,0.0,Judicial,Em aberto
73,ISS,625.0,2022-04,2022-06-30,2105.09,461.91,421.02,2988.02,445.84,Administrativa,Parcelado
74,ISS,1419.0,2022-01,2022-04-01,1208.15,177.22,241.63,1627.0,234.06,Judicial,Parcelado
75,ISS,708.0,2022-05,2022-07-30,567.65,164.75,113.53,845.93,0.0,Administrativa,Em aberto
76,ISS,403.0,2024-11,2025-01-30,967.91,117.83,193.58,1279.33,17.6,Judicial,Parcelado
77,ISS,340.0,2023-04,2023-06-30,13676.42,2243.22,2735.28,18654.93,3267.74,Judicial,Parcelado
78,ISS,615.0,2023-10,2023-12-30,2223.1,492.45,444.62,3160.17,0.0,Administrativa,Em aberto
79,ISS,1788.0,2022-08,2022-10-30,702.47,154.25,140.49,997.22,239.94,Judicial,Parcelado
80,ISS,1289.0,2024-10,2024-12-30,8852.46,1576.2,1770.49,12199.15,2472.39,Judicial,Parcelado
81,ISS,1699.0,2023-07,2023-09-29,673.4,126.37,134.68,934.45,0.0,Administrativa,Em aberto
82,ISS,404.0,2024-02,2024-05-01,5710.32,1263.28,1142.06,8115.66,1162.51,Judicial,Parcelado
83,ISS,923.0,2023-09,2023-11-30,559.13,33.89,111.83,704.85,23.69,Administrativa,Parcelado
84,ISS,316.0,2022-10,2022-12-30,2358.46,150.36,471.69,2980.51,0.0,Administrativa,Em aberto
85,ISS,1479.0,2024-08,2024-10-30,2668.81,425.76,533.76,3628.33,932.85,Administrativa,Parcelado
86,ISS,1191.0,2024-05,2024-07-30,3552.64,936.67,710.53,5199.84,0.0,Administrativa,Em aberto
87,ISS,512.0,2022-02,2022-05-02,5531.36,763.45,1106.27,7401.09,1962.88,Administrativa,Parcelado
88,ISS,257.0,2023-01,2023-04-01,5179.99,872.3,1036.0,7088.29,0.0,Administrativa,Em aberto
89,ISS,945.0,2023-05,2023-07-30,4041.51,799.5,808.3,5649.32,0.0,Administrativa,Em aberto
90,ISS,78.0,2024-12,2025-03-01,2106.23,369.92,421.25,2897.4,349.62,Administrativa,Parcelado
91,ISS,1730.0,2022-04,2022-06-30,1248.43,156.22,249.69,1654.34,0.0,Administrativa,Em aberto
