id_imovel,inscricao_imobiliaria,tipo,bairro,area_m2,valor_venal,iptu_lancado,iptu_pago,isencao,inadimplente,ultima_atualizacao_cadastral
1,SV000001,Comercial,Glória,69.3,367199.19,4406.39,4406.39,0,0,2026-01-06
2,SV000002,Residencial,Centro,149.8,588249.33,4705.99,4705.99,0,0,2019-06-27
3,SV000003,Terreno,Parque Bitaru,544.5,479476.0,9589.52,0.0,0,1,2022-02-27
4,SV000004,Comercial,Centro,150.3,859695.85,10316.35,10316.35,0,0,2018-07-31
5,SV000005,Residencial,Cidade Nautica,215.1,713423.35,5707.39,5707.39,0,0,2023-11-07
6,SV000006,Residencial,Vila Margarida,95.6,299186.66,2393.49,2393.49,0,0,2022-03-30
7,SV000007,Residencial,Centro,96.9,432066.07,3456.53,3456.53,0,0,2023-09-09
8,SV000008,Comercial,Japuí,233.9,1196084.58,14353.01,14353.01,0,0,2018-12-23
9,SV000009,Residencial,Parque Bitaru,59.4,143857.84,1150.86,1150.86,0,0,2022-05-03
10,SV000010,Residencial,Parque Bitaru,151.7,455141.21,3641.13,3641.13,0,0,2020-12-11
11,SV000011,Industrial,Parque Bitaru,109.3,352218.99,4226.63,4226.63,0,0,2020-07-05
12,SV000012,Residencial,Cidade Nautica,86.9,253722.86,2029.78,2029.78,0,0,2021-10-21
13,SV000013,Residencial,Centro,92.3,368665.06,2949.32,2949.32,0,0,2021-07-13
14,SV000014,Comercial,Centro,118.5,680549.46,8166.59,8166.59,0,0,2026-02-03
15,SV000015,Residencial,Parque Bitaru,39.8,118555.7,948.45,948.45,0,0,2023-05-27
16,SV000016,Comercial,Alto da Boa Vista,77.6,421073.98,5052.89,5052.89,0,0,2023-08-20
17,SV000017,Terreno,Ilha Porchat,169.5,213823.97,4276.48,0.0,0,1,2023-01-01
18,SV000018,Comercial,Alto da Boa Vista,119.6,716499.28,8597.99,8597.99,0,0,2020-11-08
19,SV000019,Terreno,Alto da Boa Vista,272.8,332776.77,6655.54,6655.54,0,0,2026-02-01
20,SV000020,Residencial,Ilha Porchat,231.6,1071866.25,8574.93,0.0,0,1,2024-03-31
21,SV000021,Residencial,Parque Bitaru,70.8,213081.33,1704.65,1704.65,0,0,2025-08-12
22,SV000022,Terreno,Glória,259.7,227698.11,4553.96,4553.96,0,0,2025-03-03
23,SV000023,Residencial,Catiapoa,64.6,197512.88,1580.1,1580.1,0,0,2024-01-04
24,SV000024,Industrial,Esplanada dos Barreiros,349.0,1129239.93,13550.88,13550.88,0,0,2019-08-07
25,SV000025,Residencial,Ilha Porchat,86.2,397914.99,3183.32,3183.32,0,0,2025-02-01
26,SV000026,Residencial,Vila Bocaina,150.1,477529.08,3820.23,0.0,0,1,2022-01-29
27,SV000027,Residencial,Porto Grande,99.0,334128.75,2673.03,2673.03,0,0,2023-08-10
28,SV000028,Residencial,Parque Bitaru,177.1,537632.94,4301.06,0.0,0,1,2023-07-20
29,SV000029,Residencial,Porto Grande,104.7,381215.51,3049.72,3049.72,0,0,2025-04-02
