id_itbi,id_imovel,bairro,tipo_imovel,mes_competencia,valor_venal_iptu,valor_declarado_escritura,razao_decl_venal,base_calculo,itbi_devido,itbi_recolhido,gap_itbi,subavaliacao_detectada,ano
1,8046,Vila São Jorge,Residencial,2023-01,138802.94,117024.92,0.843,138802.94,2776.06,2340.5,435.56,0,2023
2,962,Vila Nova,Residencial,2023-06,314511.99,344617.77,1.096,344617.77,6892.36,6892.36,0.0,0,2023
3,5969,Ilha Porchat,Residencial,2024-09,436765.9,375677.25,0.86,436765.9,8735.32,7513.55,1221.77,0,2024
4,14912,Japuí,Residencial,2024-06,459979.76,420834.05,0.915,459979.76,9199.6,8416.68,782.91,0,2024
5,5739,Parque Bitaru,Residencial,2024-06,229604.02,201426.71,0.877,229604.02,4592.08,4028.53,563.55,0,2024
6,13306,Cidade Nautica,Residencial,2022-11,344077.3,356767.55,1.037,356767.55,7135.35,7135.35,0.0,0,2022
7,12542,Glória,Comercial,2024-11,438802.93,320819.76,0.731,438802.93,8776.06,6416.4,2359.66,1,2024
8,6358,Porto Grande,Residencial,2022-03,345137.88,370027.18,1.072,370027.18,7400.54,7400.54,0.0,0,2022
9,6941,Alto da Boa Vista,Industrial,2024-08,865524.73,454054.18,0.525,865524.73,17310.49,9081.08,8229.41,1,2024
10,520,Esplanada dos Barreiros,Industrial,2022-03,1231017.87,675368.56,0.549,1231017.87,24620.36,13507.37,11112.99,1,2022
11,4902,Cidade Nautica,Comercial,2022-01,310914.85,269579.86,0.867,310914.85,6218.3,5391.6,826.7,0,2022
12,6184,Centro,Residencial,2022-10,287411.18,282581.74,0.983,287411.18,5748.22,5651.63,96.59,0,2022
13,12936,Vila São Jorge,Residencial,2022-01,240409.29,238174.68,0.991,240409.29,4808.19,4763.49,44.69,0,2022
14,12629,Vila São Jorge,Residencial,2023-10,145708.03,145505.41,0.999,145708.03,2914.16,2910.11,4.05,0,2023
15,12353,Alto da Boa Vista,Residencial,2022-03,1009488.18,982192.35,0.973,1009488.18,20189.76,19643.85,545.92,0,2022
16,9221,Parque Bitaru,Comercial,2023-07,489755.89,532583.86,1.087,532583.86,10651.68,10651.68,0.0,0,2023
