id_contribuinte,ano,valor_lancado,valor_pago,adimplente
1,2022,483.16,483.16,1
2,2022,1047.6,1047.6,1
3,2022,170.79,170.79,1
4,2022,174.55,174.55,1
5,2022,435.0,435.0,1
6,2022,168.45,168.45,1
7,2022,895.52,895.52,1
8,2022,188.29,188.29,1
9,2022,183.18,183.18,1
10,2022,520.88,0.0,0
11,2022,435.18,435.18,1
12,2022,185.57,185.57,1
13,2022,438.9,438.9,1
14,2022,178.17,178.17,1
15,2022,485.22,485.22,1
16,2022,487.16,487.16,1
17,2022,170.86,170.86,1
18,2022,6095.43,6095.43,1
19,2022,185.27,185.27,1
20,2022,1047.45,1047.45,1
21,2022,189.88,0.0,0
22,2022,183.81,183.81,1
23,2022,164.14,164.14,1
24,2022,194.69,194.69,1
25,2022,447.51,447.51,1
26,2022,5638.52,5638.52,1
27,2022,2498.1,2498.1,1
28,2022,497.39,497.39,1
29,2022,190.83,190.83,1
30,2022,181.48,181.48,1
31,2022,483.97,483.97,1
32,2022,925.07,925.07,1
33,2022,191.19,191.19,1
34,2022,182.43,182.43,1
35,2022,187.23,187.23,1
36,2022,923.79,923.79,1
37,2022,175.78,175.78,1
38,2022,876.0,876.0,1
39,2022,876.97,876.97,1
40,2022,441.86,441.86,1
41,2022,2287.35,2287.35,1
42,2022,175.07,175.07,1
43,2022,172.24,172.24,1
44,2022,1028.59,1028.59,1
45,2022,2282.77,0.0,0
46,2022,171.38,0.0,0
47,2022,1045.02,1045.02,1
48,2022,924.33,924.33,1
49,2022,441.26,441.26,1
50,2022,169.19,169.19,1
51,2022,177.03,177.03,1
52,2022,182.36,182.36,1
53,2022,2605.34,2605.34,1
54,2022,458.3,458.3,1
55,2022,190.79,0.0,0
56,2022,176.43,176.43,1
57,2022,2328.37,2328.37,1
58,2022,435.2,435.2,1
59,2022,870.69,0.0,0
61,2022,907.15,907.15,1
62,2022,185.11,185.11,1
63,2022,168.34,168.34,1
64,2022,1021.77,1021.77,1
65,2022,195.75,0.0,0
66,2022,514.96,514.96,1
67,2022,178.15,178.15,1
68,2022,2449.51,0.0,0
69,2022,440.89,440.89,1
70,2022,515.8,515.8,1
71,2022,6277.73,6277.73,1
72,2022,499.43,499.43,1
73,2022,181.69,181.69,1
74,2022,479.85,479.85,1
75,2022,177.74,177.74,1
76,2022,2281.15,2281.15,1
77,2022,174.74,174.74,1
78,2022,6399.66,6399.66,1
79,2022,1002.74,1002.74,1
81,2022,485.46,485.46,1
82,2022,490.81,490.81,1
83,2022,174.32,174.32,1
84,2022,176.63,176.63,1
85,2022,191.15,191.15,1
86,2022,1032.25,1032.25,1
87,2022,432.31,0.0,0
88,2022,476.92,476.92,1
89,2022,877.89,877.89,1
90,2022,2369.44,2369.44,1
91,2022,168.13,168.13,1
92,2022,2524.29,2524.29,1
93,2022,184.76,184.76,1
94,2022,1031.1,1031.1,1
95,2022,502.39,502.39,1
96,2022,197.01,197.01,1
97,2022,2306.3,2306.3,1
98,2022,170.99,170.99,1
99,2022,1055.02,0.0,0
100,2022,2609.11,0.0,0
101,2022,487.84,487.84,1
102,2022,176.74,176.74,1
103,2022,465.67,465.67,1
104,2022,171.21,0.0,0
105,2022,186.16,186.16,1
106,2022,481.66,481.66,1
107,2022,871.37,871.37,1
108,2022,980.11,980.11,1
109,2022,167.58,0.0,0
110,2022,497.43,497.43,1
111,2022,964.06,964.06,1
112,2022,179.49,179.49,1
113,2022,165.03,165.03,1
114,2022,5700.36,5700.36,1
115,2022,2176.27,2176.27,1
116,2022,1020.57,1020.57,1
117,2022,460.01,460.01,1
118,2022,183.94,183.94,1
119,2022,168.17,168.17,1
